grade, 36 months, 60 months
A,7.215918749784216,7.998581068054372
B,10.864500044804085,10.655718148895057
C,13.92193719985716,14.093311720991174
D,17.163473991687802,17.190870575126755
E,19.76498489149147,19.956476884348593
F,23.32513210927158,23.644717976314688
G,23.9825947521865,25.861530293567707
