grade,term,int_rate
A, 36 months,7.215918749784216
A, 60 months,7.998581068054372
B, 36 months,10.864500044804085
B, 60 months,10.655718148895057
C, 36 months,13.92193719985716
C, 60 months,14.093311720991174
D, 36 months,17.163473991687802
D, 60 months,17.190870575126755
E, 36 months,19.76498489149147
E, 60 months,19.956476884348593
F, 36 months,23.32513210927158
F, 60 months,23.644717976314688
G, 36 months,23.9825947521865
G, 60 months,25.861530293567707
